temp,CCO,HbO2,HHb,P_a,SaO2sup,t
38.07490374737049,-1.3195567202002003,-5.1658848284383305,-6.78089586858259,50.70517356,0.99,1450.0
38.05690743953405,-1.318430630107439,-5.164531350311503,-6.777037669328061,47.87015,0.99,1460.0
38.03909041625786,-1.3174848729783308,-5.164023311198826,-6.773607563081369,48.72522931,0.99,1470.0
38.0214544789612,-1.316726284592634,-5.1642801785322545,-6.7704068284619146,49.48164855,0.99,1481.0
38.0039892237344,-1.3161578263716212,-5.165182249825612,-6.767227055429715,49.42279310000001,0.99,1491.0
37.98667407248157,-1.3157792679880738,-5.1665874629579145,-6.763862107042126,48.52806322,0.99,1501.0
37.96948076826122,-1.3155883134664028,-5.168347752231454,-6.760118600618233,48.59649023,0.99,1511.0
37.95237614501337,-1.3155819313903088,-5.17032310225666,-6.75582468475539,47.70515086,1.0,1522.0
37.93532500561632,-1.3157576038593628,-5.172391939351853,-6.750837100045183,48.47564286,1.0,1532.0
37.91829295392672,-1.3161141896070925,-5.174457221436425,-6.745046603664102,49.58165714,1.0,1542.0
37.90124902315684,-1.3166521073497093,-5.1764483751966734,-6.738381859489027,52.80569185,0.99,1552.0
37.88416793100095,-1.3173725996453942,-5.178319891203884,-6.730811895879564,49.95327314,1.0,1562.0
37.86703178878785,-1.3182759575847698,-5.180047781444523,-6.722347218380448,51.348726,1.0,1573.0
37.84983111793334,-1.3193587870751062,-5.181625180850215,-6.713039601202659,49.69009718,1.0,1583.0
37.83256508987338,-1.3206106568589886,-5.183058186452219,-6.7029804513379645,50.29440318,1.0,1593.0
37.81524099334897,-1.322010714284194,-5.184362697642387,-6.692297483760807,49.02118835,1.0,1603.0
37.79787302167518,-1.3235249926637362,-5.185562674630644,-6.681149353619577,51.1636,1.0,1614.0
37.7804805413971,-1.3251051042007964,-5.186689924502424,-6.669717947746087,49.61569773,1.0,1624.0
37.763086041404826,-1.3266888200132174,-5.187785229219244,-6.6581982885728594,49.01210169,1.0,1634.0
37.74571296659935,-1.3282027336201123,-5.1889003127518585,-6.6467864349366135,48.33119692,1.0,1644.0
37.72838361925556,-1.329566846268866,-5.190099843744998,-6.6356662918054905,49.30646667,1.0,1654.0
37.71111727798691,-1.330700560887905,-5.191462498208535,-6.624996715181243,48.31059831,1.0,1665.0
37.693928653289646,-1.3315292942491836,-5.1930801632502135,-6.6149005488620505,49.37960482,1.0,1675.0
37.67682677610555,-1.3319907878571222,-5.195054651126027,-6.60545713415799,49.79666124,1.0,1685.0
37.659814396040346,-1.3320402633487574,-5.19749172867229,-6.596699372176317,49.84890337,1.0,1695.0
37.64288793897228,-1.3316538089603096,-5.200492754215122,-6.5886156861141965,48.1001059,1.0,1706.0
37.62603803506385,-1.3308297173860302,-5.204144687890211,-6.581156406272307,49.50487318,1.0,1716.0
37.609250579264064,-1.3295878219674806,-5.208509645300054,-6.574243381838747,52.76241369,1.0,1726.0
37.59250823115053,-1.3279671302943674,-5.213615415343114,-6.567781167035037,49.40386676,1.0,1736.0
37.57579220547841,-1.3260222116163525,-5.219448369569428,-6.561668013913332,53.60721629,1.0,1747.0
37.559084160804936,-1.3238188610834127,-5.225949918476575,-6.55580512739584,49.68668111,1.0,1757.0
37.54236797634781,-1.3214295455728728,-5.233017184458667,-6.550103126718748,48.11972382,1.0,1767.0
37.525631225791294,-1.3189290448160569,-5.240507987856239,-6.544485285404956,48.15968156,1.0,1777.0
37.50886620640356,-1.3163905723479434,-5.248249691245042,-6.53888773850412,49.12167611,1.0,1787.0
37.49207044785421,-1.3138825444427809,-5.256050976373693,-6.533257313807372,48.63636704,1.0,1798.0
37.47524669209592,-1.3114660980852433,-5.2637152704500085,-6.527547883710942,49.31918667,1.0,1808.0
37.45840239237381,-1.309193438724777,-5.2710543294548895,-6.5217161542070405,50.94469778,1.0,1818.0
37.44154881861873,-1.307107088387367,-5.2779004679176005,-6.515717686292454,49.82114667,1.0,1828.0
37.42469987589964,-1.3052400605703842,-5.2841161281810125,-6.509503778357588,49.949875,1.0,1839.0
37.40787074765461,-1.303616887270503,-5.289599897673715,-6.503019689873844,49.49385556,1.0,1849.0
37.39107647697438,-1.3022552772402016,-5.294288640418764,-6.496204576112572,52.7582322,1.0,1859.0
37.374330604832075,-1.301168034763006,-5.29815599732513,-6.488993410879555,49.26531899,1.0,1869.0
37.35764399103554,-1.3003647722324116,-5.301208009078477,-6.481321052842766,54.08762049999999,1.0,1880.0
37.34102394147629,-1.299852962150753,-5.303476921173768,-6.4731284118950425,49.26199973,1.0,1890.0
37.3244737451272,-1.2996380203854518,-5.305014284014839,-6.4643703742630505,47.5803811,1.0,1900.0
37.3079926839557,-1.2997223651523977,-5.30588428901041,-6.455024775744223,47.98687376,1.0,1910.0
37.29157652117249,-1.3001036772119017,-5.306157992158159,-6.445101347014058,49.02873077,1.0,1920.0
