P_a,SaO2sup,temp,DHbO2,DHHb,CCO,DHbT,DHbdiff,t
46.3142320313,0.9730569431,33.0887,-5.4709713479,-5.0478021719,-2.3945475767,-10.5187735198,-0.423169176,12335
46.401882199,0.99,33.0865,-5.5580099107,-5.0806403201,-2.3841783948,-10.6386502308,-0.4773695905,12345
43.6367092593,1,33.085,-5.6865112722,-4.9780677861,-2.4054624534,-10.6645790583,-0.7084434861,12356
45.1682515789,0.99,33.0844,-5.8770728863,-4.9140783995,-2.3865617304,-10.7911512858,-0.9629944868,12366
44.1856507979,0.99,33.0784,-5.9835108664,-4.8897625516,-2.3883419476,-10.873273418,-1.0937483148,12376
45.6732498645,0.99,33.0689,-5.949872111,-4.9138427432,-2.3744415686,-10.8637148541,-1.0360293678,12387
44.0038994595,0.99,33.0593,-5.8864651504,-4.919291847,-2.4013974114,-10.8057569973,-0.9671733034,12397
44.1926043478,0.99,33.0532,-5.9401602422,-4.9035439185,-2.3811937782,-10.8437041607,-1.0366163237,12408
44.5667281081,0.99,33.0501,-5.959278089,-4.8214723881,-2.3938206613,-10.7807504771,-1.1378057009,12418
47.7601173913,0.99,33.0447,-5.8567133549,-4.8758341658,-2.3960228815,-10.7325475208,-0.9808791891,12429
43.0889065934,0.99,33.0357,-5.7104459,-4.9048299507,-2.3866757144,-10.6152758507,-0.8056159492,12439
43.8761916216,1,33.026,-5.7265865046,-4.9299255843,-2.392865843,-10.6565120889,-0.7966609203,12449
45.4532111413,0.99,33.0214,-5.7945790945,-4.8865839387,-2.3675689433,-10.6811630333,-0.9079951558,12460
46.8329874317,0.99,33.0165,-5.7656464112,-4.8621594631,-2.3751275002,-10.6278058743,-0.9034869481,12470
43.0013655738,1,33.0126,-5.7649845416,-4.90902421,-2.3560634431,-10.6740087515,-0.8559603316,12481
44.6364788043,0.99,33.0066,-5.8040582386,-4.887428771,-2.3653732575,-10.6914870096,-0.9166294676,12491
45.1120445652,0.99,33.0005,-5.8619187094,-4.7414038224,-2.381651741,-10.6033225317,-1.120514887,12501
48.9907393443,0.99,32.9944,-5.8126873591,-4.8591940871,-2.346695638,-10.6718814462,-0.953493272,12512
43.5406505376,0.99,32.9884,-5.7906799924,-4.7764165755,-2.379005111,-10.5670965679,-1.014263417,12522
45.2707614754,0.99,32.9821,-5.907723131,-4.7957935566,-2.360167187,-10.7035166876,-1.1119295744,12533
45.2288891304,0.99,32.9782,-5.8214888022,-4.9239668417,-2.3234214649,-10.7454556438,-0.8975219605,12543
45.3415152174,0.99,32.9769,-5.7873604942,-4.8582013781,-2.3636133265,-10.6455618723,-0.929159116,12553
42.8843,0.99,32.9701,-5.9675494285,-4.7913327565,-2.349968298,-10.758882185,-1.1762166721,12564
44.3097029891,0.99,32.9635,-5.85103762,-4.7381083339,-2.4044804278,-10.5891459539,-1.112929286,12574
44.5097248634,0.99,32.9579,-5.8243101114,-4.7500196988,-2.3996647437,-10.5743298103,-1.0742904126,12585
48.795913388,0.99,32.9534,-5.8633389896,-4.8670986883,-2.3303063245,-10.7304376779,-0.9962403013,12595
45.0228956522,0.99,32.9494,-5.9065901011,-4.7673871932,-2.3574651513,-10.6739772943,-1.1392029079,12605
45.2337229508,0.99,32.9445,-5.8497223028,-4.9030768312,-2.3657151347,-10.7527991341,-0.9466454716,12616
45.4374978378,0.9972,32.9419,-5.8218608421,-4.8227768968,-2.3991774066,-10.6446377389,-0.9990839453,12626
48.3429442623,0.99,32.9409,-5.8729299751,-4.790359574,-2.3940854085,-10.6632895492,-1.0825704011,12637
43.2481125683,0.99722,32.9393,-5.8008412767,-4.9367841113,-2.3624475671,-10.737625388,-0.8640571654,12647
45.3807864865,0.98,32.9358,-5.8888731093,-4.8665991433,-2.380008094,-10.7554722525,-1.022273966,12658
45.4563027322,0.98,32.9326,-5.9306738562,-4.9781465304,-2.3149714794,-10.9088203866,-0.9525273258,12668
44.4601709677,0.99,32.9289,-5.9132872514,-4.7061170249,-2.4324229671,-10.6194042763,-1.2071702265,12679
43.2049347826,0.98,32.9222,-5.8955871992,-4.7920006772,-2.4073829512,-10.6875878764,-1.103586522,12689
45.0010380435,0.98,32.9193,-5.957023839,-4.8670766366,-2.3756721129,-10.8241004756,-1.0899472024,12699
44.91376,0.98,32.9141,-5.9616749601,-4.7609568625,-2.4002241644,-10.7226318226,-1.2007180976,12710
48.8070827027,0.98,32.912,-5.9381046169,-4.8373379412,-2.3851057305,-10.7754425581,-1.1007666758,12720
44.5065709239,0.98,32.9076,-5.9475180469,-4.8571151874,-2.3701033097,-10.8046332343,-1.0904028594,12731
45.5259326087,0.98,32.9037,-5.9212094039,-4.856068581,-2.3662309425,-10.7772779849,-1.0651408229,12741
45.7208217391,0.98,32.901,-6.0518362671,-4.7115514608,-2.3769493069,-10.7633877279,-1.3402848064,12751
45.2821756757,0.98,32.8993,-6.0539260781,-4.7610157297,-2.3889960458,-10.8149418078,-1.2929103483,12762
42.8184244624,0.98,32.8934,-6.0322550615,-4.686231545,-2.3948882118,-10.7184866065,-1.3460235165,12772
45.564092973,0.98,32.8881,-6.0283286025,-4.7354352486,-2.376302969,-10.7637638511,-1.2928933538,12783
45.5743216216,0.98,32.8837,-6.063356079,-4.6483359599,-2.3994658512,-10.7116920389,-1.415020119,12793
48.0267628415,0.98,32.8816,-6.0665774509,-4.6511358295,-2.3903993384,-10.7177132804,-1.4154416214,12803
43.870002965,0.98,32.8784,-6.0620214446,-4.6775350181,-2.3837681875,-10.7395564628,-1.3844864265,12814
45.2995940541,0.98,32.876,-6.0208491303,-4.7359873123,-2.3771007079,-10.7568364426,-1.284861818,12824
45.9605751351,0.98,32.8753,-6.1134990395,-4.6870730574,-2.3801082312,-10.8005720969,-1.426425982,12835
47.4104456989,0.98,32.8733,-6.0624347377,-4.6581147081,-2.4115202112,-10.7205494458,-1.4043200296,12845
45.0800491979,0.98,32.8715,-6.0318929835,-4.754137032,-2.4027271933,-10.7860300154,-1.2777559515,12856
