t,DHbO2,DHHb,CCO,DHbT,DHbdiff,CBF,SaO2sup,P_a,temp
348.0,0.6519163016292282,-0.4876391247322829,0.06262616424454082,0.16427717689695243,1.139555426361511,0.007396996096657962,0.99,39.489478,38.84362050827914
358.0,0.8601624926895788,-0.5773558967082053,0.0628095344244917,0.28280659598137703,1.437518389397784,0.007477866177971499,0.99,40.1246614864865,38.832660078801545
369.0,0.8173044798596223,-0.5817504403638125,0.0626250177593262,0.23555403949580267,1.3990549202234348,0.007478366372967291,0.99,40.3201583892618,38.82136172289884
379.0,0.7108773171499365,-0.5436881689212143,0.06224526636858659,0.16718914822872222,1.2545654860711508,0.0074386459133975735,0.99,40.04522,38.80973480750313
389.0,0.7672840995946579,-0.5651657041021387,0.062111592987371886,0.2021183954925263,1.3324498036967967,0.007455150668349846,0.99,40.1333185430464,38.79778504454079
399.0,0.4867863706952953,-0.4414860230678954,0.061354786729094585,0.045300347627403426,0.9282723937631907,0.007336056082182218,0.99,39.1290412162162,38.78551566016742
409.0,1.1210909417033825,-0.9699402823002394,0.0627569455993297,0.1511506594031431,2.091031224003622,0.0074131652185071,1.0,39.7597996632997,38.77292842863103
420.0,0.8733156256727348,-0.629395018345491,0.06165866953437789,0.2439206073272402,1.5027106440182258,0.007504264985779704,0.99,40.6469067567568,38.76002452752421
430.0,0.852990489925407,-0.9044375968688705,0.0619766052479647,-0.05144710694346344,1.7574280867942775,0.0073465462047629555,1.0,39.6472,38.7468052134494
440.0,0.46894946478058586,-0.45277868927174225,0.06038376274506721,0.016170775508847157,0.9217281540523281,0.00733061796518052,0.99,39.16789375,38.7332723452067
450.0,0.9673954374470206,-0.9202233259560764,0.0614917420780963,0.04717211149095135,1.887618763403097,0.00735199843286961,1.0,39.3359854304636,38.71942879470248
461.0,0.6650351522974702,-0.5314738367685479,0.06015720552624631,0.13356131552892236,1.196508989066018,0.00739539626436167,0.99,39.5871774834437,38.7052787815656
471.0,1.3936003833187058,-1.1393669602510421,0.061776139327357316,0.25423342306765306,2.532967343569748,0.0075488015034255946,1.0,41.23425,38.690828146156555
481.0,0.6779747026853329,-0.8675106061767117,0.060375126618189556,-0.18953590349138238,1.5454853088620446,0.007293942301841535,1.0,39.4711506666667,38.67608454523759
491.0,0.8539233167179461,-0.9130568295465444,0.060245001167022486,-0.05913351282860191,1.7669801462644905,0.007329853866995792,1.0,39.4494876623377,38.661057530526634
502.0,0.7657501622260234,-0.8666937735525515,0.059742231193242304,-0.10094361132653518,1.632443935778575,0.007283707222483403,1.0,38.9880493421053,38.645758467440814
512.0,0.7843319504485677,-0.8670652105772163,0.05940830739639955,-0.08273326012864857,1.651397161025784,0.0072796122009428565,1.0,38.8637493506493,38.63020027304865
522.0,1.6200778528016428,-1.267041477839859,0.06063274920665215,0.353036374961782,2.887119330641502,0.007650346239685347,1.0,42.2858773333333,38.614396988099486
532.0,0.3611163518103595,-0.7720492097559593,0.058313625900822105,-0.4109328579456033,1.1331655615663188,0.007189898386375611,1.0,38.9183843137255,38.59836323182773
542.0,0.7255344390530247,-0.8620748934498685,0.05832864371462634,-0.1365404543968438,1.5876093325028933,0.007263091123665497,1.0,38.8481935064935,38.58211360911662
553.0,0.733158357025701,-0.8505815934138177,0.05792776260613054,-0.11742323638812024,1.5837399504395187,0.007248232886608325,1.0,38.5783486842105,38.56566214481016
563.0,0.8639405015619772,-0.9041220542960389,0.057765702701028786,-0.040181552734061654,1.768062555858016,0.0072917140270312404,1.0,38.8632210526316,38.54902181007032
573.0,1.758183895491733,-1.3517931594802057,0.05911287896542243,0.40639073601152376,3.1099770549719388,0.007711658806952843,1.0,42.9633973684211,38.532204181407
583.0,0.14667869183463367,-0.7045824637657425,0.05617924536030194,-0.5579037719311017,0.8512611556003762,0.007111719456560005,1.0,38.4289941176471,38.51521923879446
594.0,0.9321079544661721,-0.9619314082448263,0.056831472613356374,-0.02982345377865414,1.8940393627109984,0.0073319020678203044,1.0,39.3629922077922,38.49807527702869
